title,company,location,link
네이버,[전문연구요원] 상시,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b79c2ae536063b01
모두리치MDURICH Inc,삼성전자 Python Framework 개발 (화성사업장/10개월),경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8cc3ef804be1e95c
네이버,[Search & Clova] Clova AI 인재,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=92bd400e3b5306ba
이진솔루션,Python 웹프로그램 엔지니어,인천 서구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8f6f6d60d6cd5bd8
"Moloco, Inc.",Software Engineer - Seoul,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4206cd042c6633c1
LG생활건강,Bioinformatics/Data Analysis 석/박사,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c11254033badb5b2
마이뮤직테이스트,Developer / Designer recruit,서울 논현동,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=55a19c92c845685e
네이버,[Search & Clova] Clova 체험형 인턴,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b4b6ee0fd83b8ce1
Applied Materials Inc.,Process & Data Scientist,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b87ff4aabad6e65e
Applied Materials Inc.,Image Processing Developer (SW Engineer),경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3224a99522042aaa
ATZ Inc.,퀀트 개발자 (Quant Developer),서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f6fe4d192f210bc7
Supercell,Data Scientist,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=554c2e55cc985488
Nexon,분석지원팀 - 데이터 분석가,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4233609a843b5e96
Microsoft,Support Engineer _ Azure PaaS,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=01bc879744c28f9c
Boston Consulting Group,Data Scientist,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ce6747e77c861c46
네이버,네이버웹툰 ToonRadar(불법 웹툰 유출자 감시 시스템) 연구 개발자(경력),대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ea3daca56d64b287
NHN,모바일 보안,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=fa32e47d04a9f932
Google,"Partner Engineer, Google Assistant",서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c6398dbbd3c4f4d9
온누리아이코리아,"[데이터 분석 스타트업] UI/UX개발/고객행동분석 (Python, GA, Database)",서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=abeb2f106393ad76
Nexon,광고팀 - 분석가,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3a08c7089343733d
베이리스,딥러닝 전문연구요원 특별,성남 수정구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bfc63c0dc39852e3
아이시큐어,Django/Python 웹 애플리케이션 구축/운영.,서울 금천구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b7551724d58f140f
Nexon,경험최적화파트 - 데이터 사이언티스트/분석가,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c6e0b428a62c7eaa
MIND AI,Computational Linguist - AI (Natural Language Reasoning),서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2bdd2465542edd04
Valmet Inc.,Data Scientist,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e20355c9cc0e1ec6
에프앤디파트너스,"웹,서버 개발자/기업부설연구소/정규직",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3da7d3e61d2dc145
네이버,[동영상플랫폼] 연계형 인턴십,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e65a195da656bcdc
네이버,"[Search & Clova] Entity Linking, Keyword Extraction (NLP) 경력사원",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b6f6a789b6e7a028
LG이노텍,Data 분석 전문가 (경력),서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c6402f6a5164a9e9
카카오,카카오 네트워크 엔지니어,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f281c810daf0e10d
MIND AI,AI Scientist - Symbolic AI (Natural Language Reasoning),서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7b96b63ac704d98a
Axiologic Solutions,Data Analyst,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eb45c08f4c4a43d8
SiFive,Physical Implementation Engineer,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=55537575b7dd8d87
카카오,데이터 분석가,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=092d062a6faa7139
Garrett Advancing Motion,Algorithm Application Engineer,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8c47e8f334705d2e
Synopsys,"Design Consultant, Sr II",대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=33da210b05e4dac7
에셋플러스자산운용,(상시) 인공지능 플랫폼 전문가,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5a3704a451412c98
Microsoft,Support Engineer,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=0bbf23c0930be392
